VM;Powerstate;Template;CPUs;NICs
hci-fio-datastore-1175711-0-13;poweredOn;False;4;1
hci-fio-datastore-1175711-0-14;poweredOn;False;4;1
hci-fio-datastore-1175711-0-15;poweredOn;False;4;1
hci-fio-datastore-1175711-0-16;poweredOn;False;4;1
hci-fio-datastore-1175711-0-17;poweredOn;False;4;1
hci-fio-datastore-1175711-0-18;poweredOn;False;4;1
hci-fio-datastore-1175711-0-19;poweredOn;False;4;1
hci-fio-datastore-1175711-0-2;poweredOn;False;4;1
hci-fio-datastore-1175711-0-20;poweredOn;False;4;1
hci-fio-datastore-1175711-0-21;poweredOn;False;4;1
hci-fio-datastore-1175711-0-22;poweredOn;False;4;1
hci-fio-datastore-1175711-0-23;poweredOn;False;4;1
hci-fio-datastore-1175711-0-24;poweredOn;False;4;1
hci-fio-datastore-1175711-0-25;poweredOn;False;4;1
hci-fio-datastore-1175711-0-26;poweredOn;False;4;1
hci-fio-datastore-1175711-0-27;poweredOn;False;4;1
hci-fio-datastore-1175711-0-28;poweredOn;False;4;1
hci-fio-datastore-1175711-0-29;poweredOn;False;4;1
hci-fio-datastore-1175711-0-3;poweredOn;False;4;1
hci-fio-datastore-1175711-0-30;poweredOn;False;4;1
hci-fio-datastore-1175711-0-31;poweredOn;False;4;1
hci-fio-datastore-1175711-0-32;poweredOn;False;4;1
hci-fio-datastore-1175711-0-33;poweredOn;False;4;1
hci-fio-datastore-1175711-0-34;poweredOn;False;4;1
hci-fio-datastore-1175711-0-35;poweredOn;False;4;1
hci-fio-datastore-1175711-0-36;poweredOn;False;4;1
hci-fio-datastore-1175711-0-37;poweredOn;False;4;1
hci-fio-datastore-1175711-0-38;poweredOn;False;4;1
hci-fio-datastore-1175711-0-39;poweredOn;False;4;1
hci-fio-datastore-1175711-0-4;poweredOn;False;4;1
hci-fio-datastore-1175711-0-40;poweredOn;False;4;1
hci-fio-datastore-1175711-0-5;poweredOn;False;4;1
hci-fio-datastore-1175711-0-6;poweredOn;False;4;1
hci-fio-datastore-1175711-0-7;poweredOn;False;4;1
hci-fio-datastore-1175711-0-8;poweredOn;False;4;1
hci-fio-datastore-1175711-0-9;poweredOn;False;4;1
linux-ansible-010;poweredOn;False;2;1
macsrv01;poweredOn;False;4;1
MANDML1SRV01;poweredOn;False;2;1
mandml1srv02;poweredOn;False;2;1
mandml1srv03;poweredOn;False;2;1
mandml1srv04;poweredOn;False;2;1
mandml1srv05;poweredOn;False;2;1
mandml2srv01;poweredOn;False;4;1
mandml2srv02;poweredOn;False;4;1
mandml2srv03;poweredOn;False;4;1
mandml2srv04;poweredOn;False;4;1
MANDML2SRV05;poweredOn;False;4;1
MANDML3V8SRV01;poweredOn;False;4;1
messrv03;poweredOn;False;1;1
messrv04;poweredOn;False;4;1
MFAB16SRV01;poweredOn;False;4;1
MFAB16SRV02;poweredOn;False;4;1
MFAB16SRV03;poweredOn;False;4;1
MFAB16SRV04;poweredOn;False;4;1
MFAB16SRV05;poweredOn;False;4;1
MFAB16SRV06;poweredOn;False;4;1
